,Date,Price,Open,High,Low,Vol.,Change %,Vol,Day,Week,Month,Year,Polarity,Comments,Polarity_change
365,2020-10-06,0.002614,0.002653,0.002699,0.002607,919.73K,-1.39,919730.0,6,41,10,2020,0.0436235294117647,0,-27.115
364,2020-10-07,0.002598,0.0026089999999999998,0.0026089999999999998,0.00257,715.52K,-0.63,715520.0,7,41,10,2020,0.02355714285714284,18,6.985218322666667
362,2020-10-09,0.0025670000000000003,0.002539,0.002571,0.002525,776.24K,1.2,776240.0,9,41,10,2020,0.12089122807017545,25,2.788040540555555
361,2020-10-10,0.002512,0.002569,0.002569,0.0024980000000000002,732.09K,-2.11,732090.0,10,41,10,2020,0.12805263157894736,12,17.0
360,2020-10-11,0.002509,0.002513,0.002513,0.002477,690.16K,-0.13,690160.0,11,41,10,2020,0.2113537313432836,20,5.428888888888888
359,2020-10-12,0.002657,0.002507,0.002668,0.002507,1.37M,5.89,1370000.0,12,42,10,2020,0.04393999999999999,8,6.0075
358,2020-10-13,0.0026899999999999997,0.002647,0.002732,0.002647,1.30M,1.25,1300000.0,13,42,10,2020,-0.005945833333333321,39,-1.1124657533333342
357,2020-10-14,0.0027,0.0026829999999999996,0.002715,0.0026829999999999996,718.40K,0.37,718400.0,14,42,10,2020,-0.007359999999999989,18,-9.756490512363637
355,2020-10-16,0.002649,0.0027140000000000003,0.002746,0.002641,883.32K,-2.75,883320.0,16,42,10,2020,0.0499516129032258,315,-1.1077970793333334
354,2020-10-17,0.00266,0.002653,0.002688,0.002649,737.42K,0.4,737420.0,17,42,10,2020,0.04160465116279069,146,-1.225274944
353,2020-10-18,0.002665,0.0026579999999999998,0.002694,0.0026579999999999998,790.04K,0.19,790040.0,18,42,10,2020,0.03857812499999999,0,-1.4439902784999998
352,2020-10-19,0.002545,0.00266,0.00266,0.0025440000000000003,619.54K,-4.49,619540.0,19,43,10,2020,0.06546111111111111,52,0.0
351,2020-10-20,0.0024170000000000003,0.002547,0.002566,0.002398,1.05M,-5.04,1050000.0,20,43,10,2020,0.0,0,26.793333333333333
350,2020-10-21,0.002325,0.0024129999999999998,0.0024230000000000002,0.0023079999999999997,940.14K,-3.79,940140.0,21,43,10,2020,0.11265999999999997,20,2.105555555555555
349,2020-10-22,0.002364,0.002323,0.0024100000000000002,0.002323,979.25K,1.64,979250.0,22,43,10,2020,0.08202954545454548,12,13.217324161583335
348,2020-10-23,0.002369,0.002359,0.002389,0.002356,682.13K,0.24,682130.0,23,43,10,2020,0.224465,44,-0.6004824094615384
347,2020-10-24,0.002337,0.002365,0.002375,0.002333,587.66K,-1.36,587660.0,24,43,10,2020,0.0637,44,3.2462794061176474
346,2020-10-25,0.002314,0.002334,0.002348,0.002314,534.54K,-1.01,534540.0,25,43,10,2020,0.11346666666666667,24,12.004791705333332
345,2020-10-26,0.002378,0.00231,0.002396,0.002307,909.14K,2.77,909140.0,26,44,10,2020,0.022125714285714287,20,-0.25
344,2020-10-27,0.0023079999999999997,0.002378,0.002408,0.0023079999999999997,1.05M,-2.92,1050000.0,27,44,10,2020,0.027096,0,26.363202102
343,2020-10-28,0.002286,0.002305,0.0023120000000000003,0.002284,689.50K,-0.94,689500.0,28,44,10,2020,0.0463560606060606,8,-1.3838966080000001
